Family,Genus,Species,Cal,Cvel,Doxy,Iro,Nit,pH,Pho,Sal,Sil,Tem,Cal,Cvel,Doxy,Iro,Nit,pH,Pho,Sal,Sil,Tem
Hydrophiinae,Aipysurus,Aip_apr,0,81.16,0,3.76,0,0,0,0,0,16.58,0,81.63,0,1.85,0,0,0,0,0,14.36
Hydrophiinae,Aipysurus,Aip_dub,0,3.34,19.96,0.23,0,0,0,3.77,0,72.64,0,0.89,64.99,0.62,0,0,0,0.26,0,31.95
Hydrophiinae,Aipysurus,Aip_eyd,20.74,0.02,0.03,52.85,7.03,0.21,4.34,6.39,0,8.39,0.36,0.22,2.34,82.54,6.26,0,0.84,1.24,0,6.19
Hydrophiinae,Aipysurus,Aip_fol,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0
Hydrophiinae,Aipysurus,Aip_fus,0,7.12,10.44,31.86,0,0,0,0.37,0,50.21,0,4.36,12.6,46.47,0,0,0,0.15,0,36.42
Hydrophiinae,Aipysurus,Aip_lae,0,0.23,48.09,1.22,0,0,0,2.26,0,48.21,0,0.3,38.99,3.65,0,0,0,0.04,0,57.01
Hydrophiinae,Aipysurus,Aip_mos,13.58,8.83,0,41.53,4.77,0,0,26.82,0,4.47,3.58,5.09,0,73.16,4.8,0,0,0.45,0,12.92
Hydrophiinae,Aipysurus,Aip_poo,0,0,0,0,0,0,0,70.25,0,10.34,0,0,0,0,0,0,0,61.11,0,17.39
Hydrophiinae,Aipysurus,Aip_ten,0,0,0,0,0,0,57.01,30.37,0,14.6,0,0,0,0,0,0,61.32,11,0,22.21
Hydrophiinae,Emydocephalus,Emy_ann,0,5.4,39.81,5.95,0,0,0,0,23.35,25.49,0,4.43,2.23,5.28,0,0,0,0,79.11,8.94
Hydrophiinae,Emydocephalus,Emy_iji,0,0,0,0.56,0,0,0,47.58,0,51.29,0,0,0,0.09,0,0,0,0.09,0,99.82
Hydrophiinae,Ephalophis,Eph_gre,0.00,0.00,0.00,24.38,0.00,0.00,0.00,36.28,0.00,39.34,0.00,0.00,0.00,32.84,0.00,0.00,0.00,28.35,0.00,38.81
Hydrophiinae,Hydrophis ,Hyd_bel,0,3.74,0,2.09,0,0,0,0,0,93.86,0,4.71,0,4.44,0,0,0,0,0,90.91
Hydrophiinae,Hydrophis ,Hyd_ino,0,10.83,0,8.43,0,0,0,36.43,0,41.89,0,5.55,0,8.43,0,0,0,1.18,0,81.11
Hydrophiinae,Hydrophis ,Hyd_lap,0.44,0.02,0.01,49.55,0,0.45,34.04,0,0,15.51,4.41,0,0,59.62,0,30.52,4.88,0,0,0.57
Hydrophiinae,Hydrophis ,Hyd_orn,0,0.06,0,3.67,6.97,0,50.38,1.61,0,37.31,0,0.97,0,9.14,79.09,0,2.82,4.12,0,3.87
Hydrophiinae,Hydrophis ,Hyd_tor,0,1.81,0,47.61,0,0,0,0,0,49.82,0,7.84,0,25.08,0,0,0,0,0,63.49
Hydrophiinae,Hydrophis ,Hyd_kin,0,0,0,0,0,0,0,61.32,0,38.68,0,0,0,0,0,0,0,32.61,0,67.39
Hydrophiinae,Hydrophis ,Hyd_maj,0,3.36,0,13.88,69.08,0,0,0,0,13.68,0,2.18,0,8.04,48.97,0,0,0,0,40.81
Hydrophiinae,Hydrophis ,Hyd_nig,0,0.42,0,14.71,0,0,0,42.89,0,42.4,0,1.02,0,7.14,0,0,0,0.32,0,91.35
Hydrophiinae,Hydrophis ,Hyd_sto,9.22,4.3,0,40.91,8.59,4.95,0,25.23,0,6.79,1.75,3.39,0,60.79,22.39,4.62,0,4.46,0,2.59
Hydrophiinae,Hydrophis ,Hyd_zwe,0,1.7,0,0.04,75.38,0,0,0,0,6.77,0,1.37,0,0.01,43.94,0,0,0,0,0
Hydrophiinae,Hydrophis ,Hyd_atr,0,1.67,2.32,0.21,0,0,0,5.12,0,87.96,0,1.07,6.95,0.82,0,0,0,3.99,0,86.56
Hydrophiinae,Hydrophis ,Hyd_bro,0,0.03,0,0.95,0,0,0.18,0,1.87,96.97,0,0.32,0,0.27,0,0,70.86,0,1.6,26.95
Hydrophiinae,Hydrophis ,Hyd_cya,0,7.99,0,9.3,0,0,0,13.99,0,67.95,0,6.76,0,7.62,0,0,0,1,0,85.57
Hydrophiinae,Hydrophis ,Hyd_ele,0,2.0366,42.2803,5.4651,0,0,0,1.9134,4.4387,43.8659,0,0.876,15.2557,4.7201,0,0,0,0.2383,29.6471,49.2628
Hydrophiinae,Hydrophis ,Hyd_fas,0,2.63,1.02,2.62,0,0,0,26.89,1.67,62.07,0,6.98,0.62,5.18,0,0,0,0.2,12.81,66.84
Hydrophiinae,Hydrophis ,Hyd_har,0,0,0,0,0,0,0,3.17,0,96.83,0,0,0,0,0,0,0,0.12,0,99.88
Hydrophiinae,Hydrophis ,Hyd_jer,0,73.49,0,0,0,0,26.51,0,0,0,0,45.31,0,0,0,0,54.69,0,0,0
Hydrophiinae,Hydrophis ,Hyd_mac,0,1.71,0,19.37,64.53,0,0,0,0,14.39,0,11.11,0,18.53,64.75,0,0,0,0,5.61
Hydrophiinae,Hydrophis ,Hyd_oce,11.28,1.63,0,44.63,11.1,3.8,11.98,0,0,15.59,4.54,2.18,0,44.28,29.91,0.12,2.93,0,0,16.04
Hydrophiinae,Hydrophis ,Hyd_pla,4.04,5.71,0,19.23,4.05,10.95,22.2298,14.69,0,19.09,0.7876,3.1055,0,20.4217,12.4874,6.9591,21.6542,12.5367,0,22.0479
Hydrophiinae,Hydrophis ,Hyd_sch,0,0,0,0,0,0,0,42.92,0,57.08,0,0,0,0,0,0,0,9.11,0,90.89
Hydrophiinae,Hydrophis ,Hyd_spi,0,2.61,0,1.35,0,0,0,17.68,0,76.55,0,5.99,0,1.83,0,0,0,3.35,0,88.03
Hydrophiinae,Hydrophis ,Hyd_cur,0,3.26,5.63,5.98,0,0,16.51,30.42,29.43,8.77,0,2.88,4.87,7.97,0,0,4.13,0.62,72.19,7.33
Hydrophiinae,Hydrophis ,Hyd_cog,0,0,0,1.75,0,0,0,57.45,0,41.17,0,0,0,0.68,0,0,0,18.83,0,80.17
Hydrophiinae,Hydrophis ,Hyd_cze,0,0,0,0,0,0,0,34.08,0,65.92,0,0,0,0,0,0,0,36.78,0,63.22
Hydrophiinae,Hydrophis ,Hyd_mel,0,0,0,0,0,0,0,65.21,0,34.79,0,0,0,0,0,0,0,45.86,0,54.14
Hydrophiinae,Hydrophis ,Hyd_pac,0,5.28,0.3,4.43,39.02,0,0,5.56,0,45.42,0,3.09,4.2,0.87,29.32,0,0,5.45,0,57.07
Hydrophiinae,Hydrophis ,Hyd_klo,0,0,50,0,0,0,0,0,0,50,0,0,28.7,0,0,0,0,0,0,71.3
Hydrophiinae,Hydrophis ,Hyd_cae,0,8.24,0,39.71,15.03,0,0,0.97,0,36.84,0,1.94,0,22.89,65.16,0,0,0.46,0,9.1
Hydrophiinae,Hydrophis ,Hyd_vip,0,6.73,0,22.06,0,0,0,25.49,0,44.52,0,15.79,0,7.56,0,0,0,1.31,0,74.08
Hydrophiinae,Hydrophis ,Hyd_per,0,0.31,0,6.27,88.12,0,1.15,0,0,4.15,0,0.07,0,6.67,70.1,0,12.62,0,0,10.55
Laticaudinae,Laticauda,Lat_sem,0,27.06,0,0.8,0,0,67.35,0,0,4.8,0,58.8,0,8.19,0,0,33.01,0,0,0
Laticaudinae,Laticauda,Lat_col,0,0.87,4.14,5.71,0,0,0,41.86,3.78,43.64,0,0.22,3.37,4.02,0,0,0,0.66,59.81,31.91
Laticaudinae,Laticauda,Lat_cro,0,0,0,0,0,0,0,96.72,0,3.28,0,0,0,0,0,0,0,88.43,0,11.57
Laticaudinae,Laticauda,Lat_fro,0,0,0,0,77.31,0,0,0,0,22.69,0,0,0,0,69.59,0,0,0,0,30.41
Laticaudinae,Laticauda,Lat_lat,0,3.45,9.17,10.71,0,0,0,0,59.12,17.54,0,0.88,6.57,8.93,0,0,0,0,56.15,27.47
Laticaudinae,Laticauda,Lat_sai,0,4.59,0,14.21,0,0,0,3.32,0,78.62,0,2.47,0,20.78,0,0,0,7.36,0,73.5
Hydrophiinae,Microcephalophis,MIc_gra,0,0.31,0.77,0,0,0,0,48.82,0,49.7,0,1.56,2.54,0,0,0,0,4.59,0,87.93
